 Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2017","Salmonellosis, Cum 2017, flag","Salmonellosis, Cum 2016","Salmonellosis, Cum 2016, flag","Shiga toxin-producing E. coli (STEC)§, Current week","Shiga toxin-producing E. coli (STEC)§, Current week, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2017","Shiga toxin-producing E. coli (STEC)§, Cum 2017, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2016","Shiga toxin-producing E. coli (STEC)§, Cum 2016, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2017","Shigellosis, Cum 2017, flag","Shigellosis, Cum 2016","Shigellosis, Cum 2016, flag",Location 1,Location 2
NORTH DAKOTA,2017,38,,-,2,,9,,73,,91,,,-,0,,4,,36,,26,,,-,0,,2,,1,,13,,"NORTH DAKOTA
(47.475879, -100.121011)",
INDIANA,2017,38,,-,12,,28,,450,,619,,,-,1,,7,,50,,85,,,-,2,,7,,65,,230,,"INDIANA
(39.76845, -86.156212)",
OKLAHOMA,2017,38,21,,17,,41,,623,,662,,1,,2,,39,,70,,98,,1,,3,,44,,97,,552,,"OKLAHOMA
(35.468494, -97.521264)",
ALABAMA,2017,38,6,,24,,41,,769,,868,,,-,0,,4,,20,,29,,1,,3,,8,,149,,202,,"ALABAMA
(32.839182, -86.631125)",
ARIZONA,2017,38,16,,16,,34,,612,,630,,1,,3,,9,,125,,112,,8,,11,,30,,392,,1040,,"ARIZONA
(34.869712, -111.760902)",
KANSAS,2017,38,1,,8,,24,,351,,347,,,-,2,,18,,88,,96,,,-,2,,17,,83,,181,,"KANSAS
(38.345528, -98.201847)",
OHIO,2017,38,28,,26,,54,,1075,,1231,,4,,3,,19,,206,,208,,5,,12,,30,,450,,839,,"OHIO
(40.056807, -82.405897)",
NEW YORK,2017,38,36,,25,,52,,955,,1069,,8,,4,,14,,182,,208,,8,,4,,14,,161,,157,,"NEW YORK
(42.826892, -75.544286)",
MONTANA,2017,38,1,,3,,8,,105,,139,,1,,2,,7,,76,,98,,,-,0,,3,,8,,8,,"MONTANA
(47.062617, -109.430168)",
VERMONT,2017,38,,-,2,,6,,83,,102,,,-,0,,3,,12,,18,,,-,0,,2,,15,,1,,"VERMONT
(43.622479, -72.51927)",
NEBRASKA,2017,38,,-,6,,23,,268,,224,,,-,2,,12,,124,,100,,,-,1,,8,,14,,133,,"NEBRASKA
(41.640503, -99.367122)",
C.N.M.I.,2017,38,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OREGON,2017,38,4,,9,,24,,371,,335,,,-,4,,10,,156,,149,,1,,2,,13,,104,,87,,"OREGON
(44.567912, -120.156945)",
IOWA,2017,38,,-,12,,29,,508,,603,,,-,3,,16,,188,,259,,,-,2,,7,,85,,379,,"IOWA
(42.46942, -93.815856)",
WASHINGTON,2017,38,49,,5,,754,,472,,,-,9,,0,,259,,173,,,-,10,,0,,191,,167,,,-,"WASHINGTON
(47.517368, -120.467672)",
GUAM,2017,38,,-,0,,5,,,-,11,,,-,0,,0,,,-,,-,,-,0,,5,,,-,8,,"GUAM
(13.3532, 144.653198)",
COLORADO,2017,38,14,,13,,25,,495,,537,,,-,2,,11,,55,,179,,5,,3,,9,,130,,138,,"COLORADO
(38.841772, -106.132562)",
NEW HAMPSHIRE,2017,38,1,,3,,8,,100,,156,,,-,0,,3,,25,,21,,,-,0,,3,,9,,8,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALASKA,2017,38,,-,1,,4,,33,,53,,,-,0,,3,,5,,9,,,-,0,,2,,6,,4,,"ALASKA
(64.836661, -147.738891)",
TEXAS,2017,38,55,,91,,589,,2939,,3645,,8,,20,,122,,676,,594,,17,,30,,151,,1009,,3378,,"TEXAS
(31.827233, -99.423022)",
NORTH CAROLINA,2017,38,,-,25,,77,,903,,1656,,,-,1,,5,,29,,55,,,-,5,,28,,144,,321,,"NORTH CAROLINA
(35.47995, -79.180571)",
VIRGINIA,2017,38,17,,23,,44,,782,,850,,2,,2,,9,,110,,107,,4,,3,,13,,115,,298,,"VIRGINIA
(37.542699, -78.45822)",
IDAHO,2017,38,9,,4,,9,,162,,133,,2,,3,,9,,107,,137,,,-,0,,5,,27,,38,,"IDAHO
(43.680635, -114.364237)",
DELAWARE,2017,38,1,,2,,10,,129,,131,,,-,0,,2,,5,,12,,,-,1,,6,,30,,49,,"DELAWARE
(39.008676, -75.574561)",
HAWAII,2017,38,,-,5,,16,,198,,207,,,-,0,,3,,16,,15,,,-,0,,3,,28,,31,,"HAWAII
(21.30992, -157.858158)",
WISCONSIN,2017,38,5,,13,,58,,612,,713,,1,,3,,18,,170,,214,,,-,6,,21,,236,,633,,"WISCONSIN
(44.395526, -89.834513)",
MARYLAND,2017,38,,-,14,,32,,603,,688,,,-,1,,6,,42,,52,,,-,4,,12,,183,,115,,"MARYLAND
(39.290443, -76.612333)",
RHODE ISLAND,2017,38,2,,2,,11,,85,,87,,,-,0,,3,,8,,4,,,-,1,,4,,25,,19,,"RHODE ISLAND
(41.707447, -71.522488)",
GEORGIA,2017,38,33,,35,,90,,1395,,1623,,,-,2,,8,,104,,86,,7,,9,,20,,312,,512,,"GEORGIA
(32.836038, -83.631709)",
PENNSYLVANIA,2017,38,13,,28,,58,,1114,,1209,,1,,4,,11,,152,,185,,,-,6,,15,,193,,556,,"PENNSYLVANIA
(40.789676, -77.858055)",
FLORIDA,2017,38,190,,111,,211,,4133,,3730,,5,,2,,10,,90,,73,,26,,22,,54,,961,,503,,"FLORIDA
(28.915325, -81.922409)",
WYOMING,2017,38,,-,1,,6,,65,,54,,,-,0,,2,,12,,10,,,-,0,,3,,5,,4,,"WYOMING
(43.23558, -108.110518)",
MISSISSIPPI,2017,38,26,,20,,51,,767,,860,,,-,0,,2,,15,,15,,1,,3,,8,,107,,50,,"MISSISSIPPI
(32.738663, -89.537312)",
MASSACHUSETTS,2017,38,8,,22,,54,,900,,939,,,-,2,,14,,99,,94,,1,,3,,8,,128,,134,,"MASSACHUSETTS
(42.268546, -72.085064)",
MINNESOTA,2017,38,,-,0,,19,,,-,716,,,-,0,,11,,1,,325,,,-,0,,4,,,-,561,,"MINNESOTA
(46.357661, -94.793397)",
ILLINOIS,2017,38,,-,28,,51,,992,,1381,,,-,2,,9,,82,,268,,,-,6,,16,,189,,471,,"ILLINOIS
(40.477092, -88.993221)",
UNITED STATES,2017,39,342,,905,,1959,,34294,,40103,,56,,136,,506,,5149,,6023,,68,,263,,633,,9779,,16268,,,
NEW ENGLAND,2017,39,1,,37,,90,,1626,,1816,,1,,5,,16,,218,,286,,2,,6,,13,,244,,207,,,
MID. ATLANTIC,2017,39,71,,78,,142,,3110,,3946,,15,,13,,29,,542,,615,,18,,23,,40,,858,,1221,,,
NEW YORK CITY,2017,39,31,,17,,52,,820,,745,,3,,3,,10,,104,,88,,14,,8,,18,,322,,265,,,
E.N. CENTRAL,2017,39,34,,101,,189,,4108,,4922,,12,,15,,54,,665,,917,,5,,38,,80,,1368,,2708,,,
W.N. CENTRAL,2017,39,1,,61,,106,,2226,,3097,,1,,20,,62,,775,,1172,,1,,14,,50,,525,,1949,,,
S. ATLANTIC,2017,39,86,,244,,513,,9445,,10576,,1,,11,,22,,431,,450,,13,,55,,84,,2070,,2086,,,
E.S. CENTRAL,2017,39,27,,74,,131,,2593,,3253,,,-,5,,15,,183,,245,,3,,17,,39,,647,,600,,,
W.S. CENTRAL,2017,39,45,,137,,646,,4430,,6078,,7,,24,,166,,827,,824,,6,,39,,202,,1385,,4405,,,
MOUNTAIN,2017,39,38,,55,,87,,2154,,2219,,7,,14,,28,,533,,685,,8,,21,,40,,755,,1504,,,
PACIFIC,2017,39,39,,115,,824,,4602,,4196,,12,,23,,274,,975,,829,,12,,47,,232,,1927,,1588,,,
AMER. SAMOA,2017,39,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
DELAWARE,2017,39,5,,2,,10,,138,,137,,,-,0,,1,,6,,12,,,-,1,,6,,30,,52,,"DELAWARE
(39.008676, -75.574561)",
OHIO,2017,39,28,,26,,54,,1103,,1271,,12,,3,,19,,218,,211,,4,,12,,30,,454,,865,,"OHIO
(40.056807, -82.405897)",
IOWA,2017,39,1,,13,,29,,548,,628,,,-,3,,16,,208,,273,,1,,2,,9,,112,,383,,"IOWA
(42.46942, -93.815856)",
MAINE,2017,39,,-,2,,7,,79,,96,,1,,0,,2,,22,,31,,,-,0,,1,,5,,1,,"MAINE
(45.252223, -68.986647)",
NEW MEXICO,2017,39,,-,6,,14,,239,,255,,1,,0,,5,,35,,36,,,-,3,,17,,117,,138,,"NEW MEXICO
(34.520396, -106.244402)",
VIRGIN ISL.,2017,39,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
CALIFORNIA,2017,39,9,,93,,147,,3501,,3585,,,-,17,,39,,608,,646,,3,,42,,64,,1612,,1465,,"CALIFORNIA
(37.640735, -121.002435)",
WISCONSIN,2017,39,5,,13,,59,,629,,724,,,-,3,,18,,178,,218,,1,,6,,21,,238,,637,,"WISCONSIN
(44.395526, -89.834513)",
SOUTH DAKOTA,2017,39,,-,4,,13,,174,,267,,1,,1,,6,,66,,70,,,-,0,,7,,20,,23,,"SOUTH DAKOTA
(44.35371, -100.373709)",
WASHINGTON,2017,39,27,,5,,754,,494,,,-,7,,0,,259,,179,,,-,9,,0,,191,,176,,,-,"WASHINGTON
(47.517368, -120.467672)",
NORTH DAKOTA,2017,39,,-,2,,9,,75,,93,,,-,0,,4,,36,,26,,,-,0,,2,,1,,15,,"NORTH DAKOTA
(47.475879, -100.121011)",
PENNSYLVANIA,2017,39,6,,28,,58,,1143,,1249,,2,,4,,11,,158,,193,,2,,6,,15,,196,,566,,"PENNSYLVANIA
(40.789676, -77.858055)",
RHODE ISLAND,2017,39,,-,2,,11,,94,,92,,,-,0,,3,,8,,4,,,-,1,,4,,27,,20,,"RHODE ISLAND
(41.707447, -71.522488)",
PUERTO RICO,2017,39,,-,7,,20,,131,,474,,,-,0,,0,,,-,,-,,-,0,,2,,5,,22,,"PUERTO RICO
(18.215692, -66.414655)",
MONTANA,2017,39,,-,3,,8,,105,,140,,,-,2,,7,,76,,99,,,-,0,,3,,8,,8,,"MONTANA
(47.062617, -109.430168)",
NEW JERSEY,2017,39,,-,5,,27,,158,,852,,,-,2,,12,,89,,123,,,-,4,,12,,175,,228,,"NEW JERSEY
(40.104655, -74.386686)",
ARKANSAS,2017,39,21,,13,,34,,492,,593,,,-,1,,6,,63,,85,,4,,3,,15,,192,,118,,"ARKANSAS
(34.748745, -92.275105)",
ARIZONA,2017,39,20,,16,,34,,635,,664,,3,,3,,9,,130,,114,,3,,11,,30,,399,,1058,,"ARIZONA
(34.869712, -111.760902)",
KENTUCKY,2017,39,8,,10,,29,,418,,578,,,-,1,,5,,28,,68,,,-,5,,20,,182,,174,,"KENTUCKY
(37.64591, -84.774043)",
VERMONT,2017,39,,-,2,,6,,85,,102,,,-,0,,3,,12,,18,,,-,0,,2,,15,,1,,"VERMONT
(43.622479, -72.51927)",
C.N.M.I.,2017,39,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OREGON,2017,39,3,,9,,25,,376,,340,,5,,4,,10,,167,,155,,,-,2,,13,,106,,88,,"OREGON
(44.567912, -120.156945)",
NEBRASKA,2017,39,,-,6,,23,,268,,229,,,-,2,,12,,124,,102,,,-,1,,8,,14,,137,,"NEBRASKA
(41.640503, -99.367122)",
CONNECTICUT,2017,39,1,,8,,22,,365,,392,,,-,1,,4,,52,,112,,2,,1,,5,,60,,42,,"CONNECTICUT
(41.544654, -72.651713)",
MICHIGAN,2017,39,1,,17,,37,,757,,866,,,-,2,,7,,122,,128,,,-,12,,31,,395,,491,,"MICHIGAN
(44.66399, -84.711206)",
MASSACHUSETTS,2017,39,,-,22,,54,,900,,974,,,-,2,,14,,99,,100,,,-,3,,8,,128,,135,,"MASSACHUSETTS
(42.268546, -72.085064)",
WYOMING,2017,39,,-,1,,6,,65,,55,,,-,0,,2,,12,,10,,,-,0,,3,,5,,4,,"WYOMING
(43.23558, -108.110518)",
WEST VIRGINIA,2017,39,,-,2,,12,,51,,193,,,-,0,,1,,3,,21,,,-,0,,2,,3,,9,,"WEST VIRGINIA
(38.668501, -80.709421)",
LOUISIANA,2017,39,,-,12,,51,,320,,973,,,-,0,,2,,6,,22,,,-,2,,22,,79,,298,,"LOUISIANA
(31.2931, -92.463284)",
MARYLAND,2017,39,5,,14,,34,,634,,720,,,-,1,,6,,40,,52,,1,,4,,12,,191,,118,,"MARYLAND
(39.290443, -76.612333)",
OKLAHOMA,2017,39,24,,17,,41,,646,,683,,5,,2,,39,,75,,100,,2,,2,,44,,99,,558,,"OKLAHOMA
(35.468494, -97.521264)",
ALASKA,2017,39,,-,1,,4,,33,,55,,,-,0,,3,,5,,12,,,-,0,,2,,6,,4,,"ALASKA
(64.836661, -147.738891)",
TEXAS,2017,39,,-,88,,589,,2972,,3829,,2,,20,,122,,683,,617,,,-,29,,151,,1015,,3431,,"TEXAS
(31.827233, -99.423022)",
MISSOURI,2017,39,,-,20,,44,,788,,793,,,-,6,,19,,250,,251,,,-,7,,33,,287,,643,,"MISSOURI
(38.636168, -92.566292)",
NORTH CAROLINA,2017,39,,-,25,,85,,1031,,1725,,,-,1,,5,,31,,55,,,-,5,,24,,154,,345,,"NORTH CAROLINA
(35.47995, -79.180571)",
ALABAMA,2017,39,,-,23,,41,,779,,903,,,-,0,,4,,20,,29,,,-,3,,8,,149,,205,,"ALABAMA
(32.839182, -86.631125)",
NEW YORK,2017,39,34,,25,,52,,989,,1100,,10,,4,,14,,191,,211,,2,,4,,11,,165,,162,,"NEW YORK
(42.826892, -75.544286)",
GEORGIA,2017,39,43,,35,,90,,1467,,1713,,,-,3,,8,,108,,89,,3,,9,,20,,325,,526,,"GEORGIA
(32.836038, -83.631709)",
DIST. OF COL.,2017,39,,-,1,,4,,21,,57,,,-,0,,3,,3,,4,,,-,0,,2,,15,,16,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
GUAM,2017,39,,-,0,,5,,,-,11,,,-,0,,0,,,-,,-,,-,0,,5,,,-,8,,"GUAM
(13.3532, 144.653198)",
FLORIDA,2017,39,,-,111,,211,,4133,,3941,,,-,2,,10,,90,,73,,,-,22,,54,,961,,528,,"FLORIDA
(28.915325, -81.922409)",
SOUTH CAROLINA,2017,39,20,,26,,75,,1170,,1202,,,-,1,,5,,36,,32,,7,,5,,23,,274,,192,,"SOUTH CAROLINA
(34.009286, -81.037094)",
KANSAS,2017,39,,-,9,,24,,373,,358,,,-,2,,18,,90,,114,,,-,2,,17,,91,,186,,"KANSAS
(38.345528, -98.201847)",
MINNESOTA,2017,39,,-,0,,19,,,-,729,,,-,0,,11,,1,,336,,,-,0,,4,,,-,562,,"MINNESOTA
(46.357661, -94.793397)",
NEVADA,2017,39,,-,3,,9,,121,,155,,1,,0,,4,,24,,44,,,-,1,,6,,40,,51,,"NEVADA
(39.491833, -117.070159)",
IDAHO,2017,39,4,,4,,9,,167,,134,,1,,3,,9,,109,,140,,,-,0,,5,,27,,38,,"IDAHO
(43.680635, -114.364237)",
ILLINOIS,2017,39,,-,29,,55,,1156,,1427,,,-,3,,9,,94,,272,,,-,6,,16,,208,,482,,"ILLINOIS
(40.477092, -88.993221)",
MISSISSIPPI,2017,39,18,,20,,50,,795,,910,,,-,0,,2,,15,,16,,2,,2,,8,,111,,53,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW HAMPSHIRE,2017,39,,-,2,,7,,103,,160,,,-,0,,3,,25,,21,,,-,0,,3,,9,,8,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VIRGINIA,2017,39,13,,23,,44,,800,,888,,1,,2,,9,,114,,112,,2,,3,,13,,117,,300,,"VIRGINIA
(37.542699, -78.45822)",
UTAH,2017,39,,-,7,,28,,313,,263,,,-,1,,7,,91,,58,,,-,0,,4,,24,,61,,"UTAH
(39.359772, -111.584173)",
TENNESSEE,2017,39,1,,17,,36,,601,,862,,,-,3,,12,,120,,132,,1,,5,,13,,205,,168,,"TENNESSEE
(35.681402, -85.774444)",
COLORADO,2017,39,14,,13,,25,,509,,553,,1,,2,,11,,56,,184,,5,,3,,9,,135,,146,,"COLORADO
(38.841772, -106.132562)",
INDIANA,2017,39,,-,11,,29,,463,,634,,,-,1,,8,,53,,88,,,-,2,,6,,73,,233,,"INDIANA
(39.76845, -86.156212)",
HAWAII,2017,39,,-,5,,17,,198,,216,,,-,0,,3,,16,,16,,,-,0,,3,,27,,31,,"HAWAII
(21.30992, -157.858158)",
UNITED STATES,2017,40,329,,906,,1959,,35382,,41439,,44,,133,,506,,5305,,6207,,87,,262,,633,,10044,,16667,,,
NEW ENGLAND,2017,40,,-,35,,90,,1639,,1849,,,-,5,,16,,223,,292,,,-,6,,13,,247,,214,,,
MID. ATLANTIC,2017,40,58,,78,,145,,3196,,4062,,12,,13,,29,,562,,634,,21,,23,,40,,888,,1249,,,
NEW YORK CITY,2017,40,25,,17,,52,,844,,767,,5,,3,,10,,109,,92,,14,,8,,18,,334,,273,,,
E.N. CENTRAL,2017,40,26,,100,,205,,4248,,5056,,8,,15,,57,,716,,940,,10,,38,,80,,1423,,2775,,,
W.N. CENTRAL,2017,40,17,,61,,106,,2256,,3173,,2,,20,,49,,780,,1220,,12,,14,,47,,538,,1993,,,
S. ATLANTIC,2017,40,85,,244,,455,,9935,,10976,,1,,11,,22,,443,,464,,18,,55,,86,,2117,,2150,,,
E.S. CENTRAL,2017,40,23,,73,,123,,2638,,3376,,,-,5,,15,,184,,250,,4,,17,,39,,659,,616,,,
W.S. CENTRAL,2017,40,33,,130,,646,,4464,,6352,,3,,24,,166,,832,,858,,6,,39,,202,,1392,,4487,,,
MOUNTAIN,2017,40,43,,54,,88,,2203,,2264,,7,,14,,27,,546,,697,,11,,21,,40,,778,,1540,,,
PACIFIC,2017,40,44,,117,,824,,4803,,4331,,11,,23,,274,,1019,,852,,5,,48,,232,,2002,,1643,,,
AMER. SAMOA,2017,40,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
KENTUCKY,2017,40,2,,10,,29,,420,,596,,,-,1,,5,,28,,70,,1,,5,,20,,184,,182,,"KENTUCKY
(37.64591, -84.774043)",
VERMONT,2017,40,,-,2,,6,,85,,105,,,-,0,,3,,12,,18,,,-,0,,2,,15,,2,,"VERMONT
(43.622479, -72.51927)",
NEBRASKA,2017,40,,-,6,,23,,268,,241,,,-,2,,12,,124,,103,,,-,0,,8,,14,,139,,"NEBRASKA
(41.640503, -99.367122)",
WYOMING,2017,40,,-,1,,6,,65,,55,,,-,0,,2,,12,,11,,,-,0,,3,,5,,4,,"WYOMING
(43.23558, -108.110518)",
INDIANA,2017,40,,-,11,,29,,473,,650,,,-,1,,8,,56,,89,,,-,3,,7,,104,,239,,"INDIANA
(39.76845, -86.156212)",
MASSACHUSETTS,2017,40,,-,21,,54,,900,,992,,,-,2,,14,,99,,102,,,-,3,,8,,128,,140,,"MASSACHUSETTS
(42.268546, -72.085064)",
OHIO,2017,40,19,,26,,54,,1122,,1302,,5,,4,,19,,223,,221,,9,,12,,30,,463,,887,,"OHIO
(40.056807, -82.405897)",
CALIFORNIA,2017,40,11,,92,,156,,3656,,3704,,,-,17,,39,,638,,666,,3,,42,,64,,1683,,1519,,"CALIFORNIA
(37.640735, -121.002435)",
MICHIGAN,2017,40,,-,17,,37,,770,,886,,,-,2,,7,,125,,130,,1,,12,,31,,398,,517,,"MICHIGAN
(44.66399, -84.711206)",
NEW JERSEY,2017,40,,-,5,,25,,161,,876,,,-,2,,12,,98,,127,,,-,4,,12,,182,,232,,"NEW JERSEY
(40.104655, -74.386686)",
ALABAMA,2017,40,,-,23,,41,,782,,942,,,-,0,,4,,20,,29,,,-,3,,8,,150,,207,,"ALABAMA
(32.839182, -86.631125)",
ARIZONA,2017,40,16,,16,,29,,651,,693,,2,,3,,9,,134,,117,,5,,11,,30,,415,,1088,,"ARIZONA
(34.869712, -111.760902)",
NEW YORK,2017,40,15,,25,,52,,1007,,1127,,4,,4,,14,,194,,214,,3,,4,,11,,169,,167,,"NEW YORK
(42.826892, -75.544286)",
NORTH CAROLINA,2017,40,,-,25,,88,,1139,,1791,,,-,1,,5,,33,,57,,,-,5,,23,,157,,368,,"NORTH CAROLINA
(35.47995, -79.180571)",
GEORGIA,2017,40,20,,35,,87,,1507,,1800,,,-,2,,8,,108,,94,,2,,9,,20,,330,,537,,"GEORGIA
(32.836038, -83.631709)",
IOWA,2017,40,,-,12,,29,,548,,640,,,-,3,,16,,208,,277,,,-,2,,9,,112,,383,,"IOWA
(42.46942, -93.815856)",
NORTH DAKOTA,2017,40,,-,2,,9,,77,,93,,,-,0,,4,,36,,26,,,-,0,,1,,1,,15,,"NORTH DAKOTA
(47.475879, -100.121011)",
OREGON,2017,40,5,,9,,25,,386,,346,,3,,4,,10,,172,,158,,,-,2,,13,,106,,89,,"OREGON
(44.567912, -120.156945)",
TENNESSEE,2017,40,,-,16,,32,,607,,889,,,-,3,,12,,120,,134,,1,,5,,12,,209,,172,,"TENNESSEE
(35.681402, -85.774444)",
UTAH,2017,40,,-,7,,28,,313,,266,,,-,1,,7,,91,,59,,,-,0,,4,,24,,64,,"UTAH
(39.359772, -111.584173)",
IDAHO,2017,40,5,,4,,9,,172,,137,,2,,3,,9,,112,,140,,,-,0,,5,,27,,38,,"IDAHO
(43.680635, -114.364237)",
LOUISIANA,2017,40,,-,12,,51,,320,,1017,,,-,0,,2,,6,,22,,,-,2,,22,,79,,303,,"LOUISIANA
(31.2931, -92.463284)",
VIRGINIA,2017,40,23,,23,,44,,846,,932,,,-,2,,9,,121,,115,,2,,3,,13,,120,,306,,"VIRGINIA
(37.542699, -78.45822)",
VIRGIN ISL.,2017,40,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
DELAWARE,2017,40,6,,2,,11,,148,,139,,,-,0,,1,,6,,12,,,-,1,,6,,31,,53,,"DELAWARE
(39.008676, -75.574561)",
NEVADA,2017,40,,-,3,,9,,121,,156,,,-,0,,4,,24,,45,,,-,1,,6,,40,,52,,"NEVADA
(39.491833, -117.070159)",
PENNSYLVANIA,2017,40,18,,28,,58,,1184,,1292,,3,,3,,11,,161,,201,,4,,5,,15,,203,,577,,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSOURI,2017,40,17,,20,,44,,815,,821,,2,,6,,19,,255,,270,,12,,7,,33,,300,,676,,"MISSOURI
(38.636168, -92.566292)",
TEXAS,2017,40,,-,88,,589,,2972,,4004,,,-,20,,122,,683,,647,,,-,29,,151,,1015,,3500,,"TEXAS
(31.827233, -99.423022)",
WASHINGTON,2017,40,28,,6,,754,,521,,,-,8,,0,,259,,187,,,-,2,,0,,191,,178,,,-,"WASHINGTON
(47.517368, -120.467672)",
FLORIDA,2017,40,1,,111,,206,,4321,,4066,,,-,2,,10,,90,,73,,,-,22,,54,,976,,546,,"FLORIDA
(28.915325, -81.922409)",
WEST VIRGINIA,2017,40,,-,2,,7,,51,,195,,,-,0,,1,,3,,21,,,-,0,,2,,3,,9,,"WEST VIRGINIA
(38.668501, -80.709421)",
DIST. OF COL.,2017,40,,-,1,,3,,21,,58,,,-,0,,3,,3,,7,,,-,0,,2,,15,,16,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OKLAHOMA,2017,40,24,,17,,41,,670,,706,,2,,2,,39,,77,,104,,5,,2,,44,,104,,564,,"OKLAHOMA
(35.468494, -97.521264)",
CONNECTICUT,2017,40,,-,8,,22,,373,,397,,,-,1,,4,,55,,114,,,-,1,,5,,61,,43,,"CONNECTICUT
(41.544654, -72.651713)",
MONTANA,2017,40,2,,3,,8,,111,,140,,3,,2,,7,,81,,101,,,-,0,,3,,9,,8,,"MONTANA
(47.062617, -109.430168)",
MISSISSIPPI,2017,40,21,,20,,44,,829,,949,,,-,0,,2,,16,,17,,2,,3,,8,,116,,55,,"MISSISSIPPI
(32.738663, -89.537312)",
KANSAS,2017,40,,-,8,,24,,373,,371,,,-,2,,13,,90,,127,,,-,2,,17,,91,,191,,"KANSAS
(38.345528, -98.201847)",
ALASKA,2017,40,,-,1,,4,,33,,56,,,-,0,,2,,5,,12,,,-,0,,2,,6,,4,,"ALASKA
(64.836661, -147.738891)",
MINNESOTA,2017,40,,-,0,,19,,,-,738,,,-,0,,10,,1,,346,,,-,0,,4,,,-,566,,"MINNESOTA
(46.357661, -94.793397)",
PUERTO RICO,2017,40,,-,7,,20,,131,,494,,,-,0,,0,,,-,,-,,-,0,,2,,5,,22,,"PUERTO RICO
(18.215692, -66.414655)",
WISCONSIN,2017,40,7,,13,,59,,651,,743,,3,,3,,18,,189,,225,,,-,6,,22,,243,,644,,"WISCONSIN
(44.395526, -89.834513)",
MARYLAND,2017,40,11,,14,,38,,682,,738,,,-,1,,6,,42,,53,,3,,4,,12,,199,,120,,"MARYLAND
(39.290443, -76.612333)",
GUAM,2017,40,,-,0,,5,,,-,11,,,-,0,,0,,,-,,-,,-,0,,5,,,-,8,,"GUAM
(13.3532, 144.653198)",
SOUTH DAKOTA,2017,40,,-,4,,13,,175,,269,,,-,1,,6,,66,,71,,,-,0,,7,,20,,23,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MAINE,2017,40,,-,2,,7,,81,,98,,,-,0,,2,,23,,32,,,-,0,,2,,7,,1,,"MAINE
(45.252223, -68.986647)",
SOUTH CAROLINA,2017,40,24,,26,,75,,1220,,1257,,1,,1,,5,,37,,32,,11,,5,,23,,286,,195,,"SOUTH CAROLINA
(34.009286, -81.037094)",
RHODE ISLAND,2017,40,,-,2,,11,,96,,95,,,-,0,,3,,9,,5,,,-,1,,4,,27,,20,,"RHODE ISLAND
(41.707447, -71.522488)",
NEW MEXICO,2017,40,1,,6,,14,,242,,259,,,-,1,,5,,36,,36,,,-,3,,17,,117,,139,,"NEW MEXICO
(34.520396, -106.244402)",
C.N.M.I.,2017,40,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
COLORADO,2017,40,19,,13,,25,,528,,558,,,-,2,,11,,56,,188,,6,,3,,9,,141,,147,,"COLORADO
(38.841772, -106.132562)",
ARKANSAS,2017,40,9,,13,,34,,502,,625,,1,,1,,6,,66,,85,,1,,4,,15,,194,,120,,"ARKANSAS
(34.748745, -92.275105)",
ILLINOIS,2017,40,,-,30,,60,,1232,,1475,,,-,3,,9,,123,,275,,,-,6,,16,,215,,488,,"ILLINOIS
(40.477092, -88.993221)",
